GeneName	0h-1	0h-2	3h-1	3h-2	6h-1	6h-2
Rchy1	17	18	25	23	29	34
HemK1	34	37	66	51	77	91
mmy	255	294	451	396	557	559
CG9536	101	113	162	162	173	225
Sec61alpha	847	862	1330	1227	1535	1716
Daxx	99	112	186	165	223	254
KFase	31	39	61	46	62	83
epsilonCOP	117	149	211	172	244	256
Phf5a	22	25	41	31	44	53
CG31638	61	47	81	63	86	94
CG9547	108	131	181	180	220	241
CG9550	45	46	82	67	76	104
CG31637	141	148	197	162	230	246
eya	25	26	47	40	57	57
IFT52	0	2	1	1	1	3
COX5B	754	741	1115	1035	1315	1417
CG9596	21	20	42	37	35	58
COX5BL	35	24	34	34	47	60
Ent2	126	143	216	217	232	288
CG13766	19	14	28	26	32	28
CG11319	68	53	90	88	116	117
CG11050	302	288	472	440	590	629
DIP-iota	0	1	1	4	3	3
CG34345	6	5	4	3	10	7
Oatp26F	1	2	4	2	3	7
CG31635	236	275	459	411	453	538
Tango1	412	411	626	557	725	797
CG31633	20	15	40	35	34	30
CG31636	9	9	15	18	14	20
CG11070	109	125	174	140	223	216
CG13771	4	5	5	5	7	7
CG34310	314	330	474	470	605	642
cup	314	330	474	470	605	642
Galt	440	474	766	693	932	1007
Spn27A	396	368	575	519	674	753
cort	15	16	25	25	32	30
Nse1	9	4	14	11	8	14
Nhe3	184	171	240	212	288	325
CG11327	76	86	125	126	154	157
Tsp	90	81	153	132	166	206
AkhR	122	141	219	181	261	282
Aatf	41	39	50	61	76	69
homer	92	130	157	163	194	213
Liprin-alpha	115	138	167	193	217	236
TTLL3B	134	129	198	164	244	278
TTLL3A	0	0	2	1	2	3
meng	15	11	14	14	25	24
CG31910	27	25	42	24	33	55
CG44271	5	2	11	5	16	8
CG11322	6	5	14	16	7	15
LUBEL	200	181	305	233	325	345
CG17378	54	45	74	60	102	97
nrv1	763	819	1263	1101	1455	1589
nrv2	402	400	639	559	683	875
CG43610	4	1	1	2	6	4
CG17376	135	135	240	206	252	291
CG17377	137	135	214	180	281	279
CG11236	120	112	191	169	229	237
CG17375	14	18	21	29	43	50
sens-2	6	4	14	13	22	23
Rca1	31	37	49	38	65	89
l(2)k09022	68	72	107	86	122	178
Nha1	82	71	155	121	162	188
Nlg2	24	21	44	40	45	44
CG13773	21	15	28	29	29	34
Rat1	85	84	134	124	133	175
Wee1	64	66	110	103	122	136
x16	82	79	146	95	131	172
CG32829	0	0	0	0	0	0
nop5	182	151	246	222	323	316
Hrb27C	1182	1337	2064	1791	2364	2673
CG43232	1	2	2	2	2	3
CG18304	64	91	115	102	132	168
Fgop2	65	78	141	134	153	169
ihog	21	17	27	26	38	49
Gas41	11	9	17	9	21	17
SA	61	72	79	80	120	149
CG13775	4	4	14	12	12	14
CG3430	36	35	35	36	57	60
Atac1	18	14	35	18	40	36
Hmgcl	40	50	46	69	65	84
sip2	126	122	219	172	211	293
Coprox	108	144	201	180	204	241
smt3	258	290	436	361	459	551
snRNP-U1-70K	98	90	156	115	158	210
uif	86	110	149	138	175	199
CG43321	9	7	9	11	11	13
CG43322	20	28	19	23	47	44
Gart	1074	983	1607	1419	1979	2076
Pcp	0	1	0	1	2	1
CG31908	123	165	208	198	248	300
MME1	28	44	57	46	67	76
Rab30	38	40	48	58	79	86
Caper	249	246	386	279	450	498
milt	377	364	537	486	629	740
Mnn1	113	128	195	159	232	248
Mst27D	44	39	87	79	97	120
Sem1	105	112	166	133	198	197
Nuf2	6	14	29	27	31	34
Ugt307A1	0	3	0	0	1	1
Pvf2	9	9	20	10	19	21
Pvf3	21	17	39	23	37	42
MICU1	83	72	128	103	141	164
CG4496	8	12	10	17	12	17
CG4497	45	36	63	54	67	85
CG4502	131	148	230	210	216	264
CG13784	410	412	693	625	863	914
mEFG1	54	59	86	86	93	108
Ndae1	161	171	263	218	297	337
CG43799	0	1	2	0	0	2
CG43800	9	11	10	7	19	21
CG13786	1	0	2	0	4	1
Wnt4	7	7	9	13	17	16
CG31909	29	18	33	31	38	38
wg	4	2	5	3	5	7
Wnt6	28	17	29	23	31	50
Wnt10	0	0	0	1	0	2
ninaC	520	505	782	719	923	1022
CG5149	73	73	118	90	113	122
gudu	37	25	54	51	57	62
CG5160	4	7	11	9	5	9
CG5171	224	238	363	347	434	441
CG5177	141	165	294	265	274	337
CG5181	27	24	45	43	51	61
CG15818	50	40	72	64	78	86
chm	38	40	55	51	90	87
muc	915	946	1470	1312	1606	1832
CG5958	380	376	616	532	736	811
CG5973	324	319	563	480	568	636
santa-maria	109	107	159	158	193	210
Gr28a	0	0	0	0	0	0
Gr28b	2	1	0	1	0	0
CG6055	8	11	24	17	29	19
Ziz	139	118	168	163	251	249
CG6441	54	55	88	84	90	127
Obp28a	15	18	31	24	28	33
RapGAP1	103	88	124	128	145	194
Spn28B	29	44	43	41	66	72
Cyp4d21	468	468	708	615	824	915
CG6739	22	29	40	34	48	58
Slob	91	72	133	125	154	175
Myo28B1	95	96	130	136	174	203
CG18585	71	75	114	102	118	153
CG7025	11	24	21	17	26	29
CG43235	12	13	19	14	14	20
Tep2	754	750	1148	1036	1353	1538
Tep3	132	112	203	177	255	242
Ntl	25	32	38	38	47	75
CG33296	13	6	13	20	23	19
CG13793	2	6	5	7	3	6
CG13794	54	54	75	60	97	99
CG13795	108	85	173	144	180	196
CG13796	37	44	72	51	70	90
CG31904	0	0	0	0	0	0
Acp1	232	207	327	303	419	478
CG7214	181	198	293	254	334	430
ATPsynGL	13	15	28	29	29	38
CG7203	623	602	878	827	1103	1233
CG46025	34	43	61	56	71	83
CG7191	13	10	17	15	23	18
CG7179	3	5	6	6	4	4
Uro	67	88	112	115	137	169
CG7164	56	58	123	89	126	129
CG7154	62	70	106	90	120	136
CG7149	56	65	100	86	107	118
LKRSDH	84	106	152	138	201	207
Herp	202	207	327	297	421	458
r2d2	57	64	86	74	109	111
cdc14	160	164	231	251	299	368
LanB1	158	148	222	196	262	320
CG7115	164	145	231	227	282	296
Rack1	2388	2397	3643	3386	4292	4799
mts	610	647	963	832	1216	1381
CG14537	10	15	23	23	22	22
CG14535	9	7	7	13	19	19
lectin-28C	150	159	253	223	265	292
TwdlE	1	3	2	0	1	2
Proc	36	35	68	53	68	70
spz3	16	29	53	32	56	54
CG7102	0	2	1	5	0	3
SmE	55	67	99	108	120	122
CG34132	39	43	62	59	74	72
Spn28Da	11	10	13	16	22	20
Spn28Db	9	9	9	8	14	14
Snoo	45	60	83	74	116	97
CG7231	71	57	110	115	111	140
pes	178	206	339	318	353	417
CG7227	25	23	43	35	45	57
Sirup	279	270	438	449	515	616
Wwox	33	28	62	44	59	56
Spn28Dc	122	144	188	197	210	262
CG12560	25	33	40	39	46	63
Glyat	4	2	6	2	4	6
Tg	55	66	101	77	96	119
CG7367	6	2	3	6	4	8
baf	121	90	142	143	184	200
Cka	235	224	376	339	452	500
CCDC53	17	19	25	31	39	40
RpL36A	1113	1168	1753	1481	1832	2114
Megf8	90	82	118	106	159	172
poe	830	841	1317	1214	1500	1706
MED20	17	15	29	13	21	41
Trf	10	14	17	14	25	26
Mcr	183	178	296	299	338	404
Bsg	884	853	1306	1192	1601	1873
mon2	173	188	330	309	334	383
CG8673	9	7	10	11	8	15
CG12375	63	86	127	103	140	173
CG8668	99	132	215	167	214	239
PAPLA1	351	309	461	478	584	677
CG42762	0	0	0	0	0	0
CG42763	0	0	0	0	0	2
CG31606	5	5	4	7	8	12
CG43394	84	95	99	116	128	163
Rbsn-5	50	57	86	70	73	119
Acbp1	63	65	90	95	111	117
Piezo	129	111	159	149	230	246
CG34134	13	12	24	25	25	38
CG8475	435	415	630	588	767	808
CG8460	42	44	60	69	58	94
PGAP5	24	19	32	31	40	45
SLC5A11	125	117	182	161	189	219
CG8419	2	4	9	12	15	11
Su(var)205	152	159	249	229	267	340
Ssb-c31a	48	56	69	54	66	76
CG8372	45	44	57	67	85	100
CG8360	140	118	225	169	206	271
CG8353	101	85	144	122	156	175
CG8349	22	28	38	37	56	65
CG8292	32	33	57	44	65	66
Snx6	238	232	339	346	420	510
Pvr	275	263	491	418	556	619
Spn28F	116	106	178	163	201	249
CG14277	32	33	52	44	57	57
CG43057	56	39	68	71	97	107
CG8086	160	178	260	246	330	358
Btk29A	131	149	188	168	246	230
wol	91	85	145	110	163	174
Scgalpha	5	13	12	11	17	15
CG7840	75	78	110	87	132	139
Ostgamma	163	154	244	249	324	356
Mettl14	18	21	28	25	40	55
CG7810	18	20	37	30	43	37
CG7806	141	145	232	223	279	276
mtsh	18	18	29	36	35	28
strat	35	29	40	33	51	56
CG7781	102	118	173	149	192	215
CG14275	115	108	165	192	204	219
CG14274	15	8	7	7	17	20
CG14273	1	1	2	1	8	3
CG7778	299	294	499	429	540	626
Mur29B	437	430	747	642	918	964
CG7627	201	219	285	281	415	419
RpS13	1550	1583	2384	2166	2767	3031
CSN8	20	18	42	37	50	52
Pp2A-29B	483	479	789	744	965	1061
CG17292	180	178	313	287	313	399
Wdr82	36	36	61	56	72	73
CG13390	15	28	30	37	31	44
CG17294	22	25	23	23	30	45
AlaRS	311	347	488	407	605	624
CG13392	22	20	19	23	37	37
Rcd4	12	15	28	25	48	27
Dad1	54	63	119	88	100	120
CG13384	105	88	134	138	164	206
CG42819	0	0	0	1	2	1
CG42820	67	61	112	96	93	135
Acp29AB	73	74	130	98	149	151
lectin-29Ca	116	109	156	141	183	236
Peritrophin-15b	16	17	32	30	32	28
Peritrophin-15a	76	65	112	100	136	142
CG13385	23	26	27	31	35	43
CG13386	6	4	8	5	12	12
CG31898	3	3	4	4	7	8
fy	8	8	14	17	15	23
emb	235	247	383	347	488	547
CG13397	128	123	183	186	224	243
CG13398	30	36	60	45	78	79
Akap200	703	738	1129	1036	1393	1597
grk	67	62	97	93	123	135
D12	12	24	39	39	53	42
Chrac-14	16	20	32	27	45	36
mus201	33	39	59	65	72	96
CG31897	8	8	8	13	10	13
Aasdh	28	34	50	51	67	61
Agpat2	75	71	131	112	128	189
prg	18	11	36	39	41	45
CheA29a	1	0	0	0	0	3
d	3	2	6	6	7	6
CG43796	7	6	10	9	7	7
CG13088	40	55	83	84	78	84
CG43400	0	0	0	0	0	1
Dh31	14	17	27	29	34	44
Bace	334	360	610	554	675	724
CG13096	83	95	123	151	148	161
CG13097	60	47	93	79	121	101
PIG-U	64	54	72	80	78	105
mRpL51	43	44	67	42	79	85
Uba4	37	38	47	42	49	86
Sgp	574	576	929	818	965	1206
Acer	504	536	812	711	972	1052
lmgA	43	64	123	96	135	135
lmgB	43	64	123	96	135	135
CG17834	50	69	84	74	91	112
Sema1a	38	46	85	68	77	89
Glt	1763	1733	2744	2398	3264	3489
CG9287	0	0	0	0	0	0
CG9289	0	0	0	0	0	1
PrBP	23	38	58	53	64	59
Trs23	34	24	42	35	53	55
Hnf4	193	206	330	308	379	451
CG9314	134	142	233	223	275	273
raw	219	237	369	353	457	482
CG45307	0	0	0	0	0	1
CG12438	10	8	11	11	21	14
LManIII	75	87	123	103	125	128
LManIV	17	16	28	23	39	38
LManV	263	252	382	321	423	482
LManVI	594	633	948	915	1058	1246
CG42710	16	19	24	23	27	25
SoxN	24	18	22	28	26	33
CG32986	3	2	4	8	4	9
CG32987	1	1	3	1	1	0
CG32988	4	4	3	3	10	11
CG32983	0	3	7	2	9	3
CG9483	17	7	21	22	25	19
CG42713	0	0	0	0	0	0
CG34398	93	113	164	166	202	208
Tsp29Fa	140	143	201	190	270	258
Tsp29Fb	674	711	1063	986	1268	1373
Argl	433	444	741	649	863	946
CG9515	32	22	35	33	40	44
C1GalTA	91	83	144	124	150	178
CG46397	0	0	0	0	0	2
CG31886	71	74	119	107	117	137
CG9525	11	4	20	16	25	27
CG32985	33	43	56	55	79	80
CG32984	14	16	21	15	15	39
CG18088	8	6	19	13	13	16
CG9541	0	1	3	3	2	2
CG13101	24	26	35	34	34	48
CG18662	70	72	101	99	126	148
rost	64	72	121	81	119	122
CG9555	16	12	27	16	34	29
alien	114	119	182	172	192	226
CG17906	4	2	4	7	2	5
CG18661	12	7	11	4	10	13
Try29F	12	15	19	21	28	29
CG9568	196	199	346	291	379	410
CG13102	17	25	32	25	21	45
Rcd-1r	4	4	7	6	12	13
CG9582	18	22	24	29	33	32
DIP-zeta	9	12	18	9	23	20
CG12439	0	1	0	0	0	2
Toll-4	2	1	2	6	2	5
CG31609	4	6	7	3	5	6
Or30a	0	0	0	0	0	0
CG32982	100	97	139	132	201	216
CG13108	3	4	7	8	7	9
CG9586	46	52	71	76	82	103
tai	184	185	305	249	278	343
aust	4	0	9	2	10	8
borr	42	38	72	57	87	90
lectin-30A	112	136	189	200	216	271
Ggamma30A	661	641	1021	905	1179	1301
CG17005	16	23	35	32	36	36
Cks30A	23	21	22	20	31	39
Eaat1	674	652	1043	929	1270	1361
CG3748	21	12	12	12	19	29
CG43350	26	13	24	29	36	32
CG13110	21	24	33	23	37	45
CG34181	6	8	16	7	11	4
Shawl	5	9	13	14	21	15
Aldh	2801	2891	4421	4043	5169	5610
CG4438	18	10	22	24	30	21
Mco1	66	64	86	107	132	145
Fbp2	9	12	22	20	22	31
CG42847	26	27	41	20	50	56
FucTB	35	38	64	50	44	68
scat	63	79	114	112	149	162
CG3769	0	4	0	1	0	1
RpS28-like	2	1	4	4	5	5
CG33723	0	0	2	0	1	2
numb	172	168	276	256	307	414
Gdi	702	706	1065	930	1222	1409
CG33298	125	122	200	195	232	254
Oatp30B	314	310	441	390	534	596
CG31883	151	145	262	223	269	311
CG17855	25	18	39	28	46	50
Cpr30B	0	1	0	0	1	0
CG13113	15	11	16	19	23	17
CG13114	263	286	384	358	502	585
jp	324	346	524	498	615	765
CG46468	324	346	524	498	615	765
brwl	49	68	106	76	135	143
Mtpalpha	576	557	890	862	1039	1208
CG31709	167	162	259	231	289	316
gcm	4	1	10	4	7	11
CG3841	40	25	62	48	71	64
CG4382	0	0	1	0	0	0
gcm2	0	0	0	1	2	1
Trx-2	458	435	704	685	824	952
GlcAT-S	67	67	126	98	146	158
CG31882	32	32	45	37	49	60
Apoltp	703	733	1093	1039	1302	1491
CG33299	0	0	0	0	0	0
Pka-C1	292	324	466	389	563	663
hoip	109	103	160	159	171	226
pelo	100	106	149	119	151	219
CG31710	19	12	32	17	33	36
CG4364	374	348	527	494	658	725
Nckx30C	150	132	212	188	243	284
CG13116	28	32	52	43	58	76
CG13117	115	92	146	141	187	179
Cyp4e3	40	35	68	64	73	102
zf30C	92	79	134	102	131	180
Taf11	16	12	37	22	31	48
und	360	396	484	496	602	703
ppk18	1	0	1	2	0	1
CG4017	1	4	2	3	3	13
CG17633	296	319	496	423	538	576
ppk16	0	0	0	0	2	0
ppk11	0	0	0	0	2	0
IP3K1	99	99	159	132	202	208
CG4036	21	25	29	27	40	40
CG13123	11	7	7	10	12	13
nAChRalpha6	27	37	46	37	45	63
Fkbp59	248	276	435	382	515	579
CG34183	13	14	18	13	19	20
CG4537	7	6	6	8	5	10
mtDNA-helicase	20	26	30	27	32	45
Bka	15	21	24	25	32	33
RpS2	2607	2676	4188	3864	4974	5305
Muc30E	0	0	1	2	1	0
CG13124	353	423	605	519	735	808
Etl1	95	89	129	97	135	184
Srp54	96	83	128	131	182	185
yip2	608	621	969	935	1121	1290
CG5885	242	220	329	320	406	468
CG4598	103	108	179	160	225	234
CG4594	26	36	56	54	44	74
CG4592	64	53	91	81	105	113
TbCMF46	1	3	7	4	10	9
CG42366	1	0	3	2	1	1
CG42367	0	4	3	0	5	2
Cpr30F	0	1	0	0	0	0
CG31712	89	101	156	153	190	228
Apf	17	16	26	26	26	31
CG4619	64	60	100	96	125	134
CG5853	271	245	405	399	486	541
CG13126	32	30	29	40	57	50
CG4709	22	20	27	30	43	40
CG5846	25	29	28	29	31	67
CG4658	226	231	322	325	414	461
CG5850	166	167	257	211	235	348
Dref	68	66	115	94	141	124
RpL13	1904	1990	3024	2770	3506	3845
bib	9	9	8	11	15	13
CG31875	7	13	15	19	23	20
SoYb	15	19	32	23	37	33
Ndf	290	281	424	383	452	556
Trp1	359	354	606	542	663	793
CG13131	14	11	25	17	21	27
CG13127	8	7	10	8	12	20
obst-B	41	50	98	79	92	97
CG33301	44	39	63	52	69	84
Cpr31A	1	1	0	0	2	1
Pen	682	743	1189	1001	1379	1464
Spn31A	29	30	53	53	59	68
CG44153	8	9	11	14	20	22
CG13133	6	11	10	8	13	11
CG34109	18	23	30	30	36	34
CG13135	2	0	1	0	0	0
CG4839	67	82	110	95	125	148
CG13137	1	1	6	5	3	9
Sur	14	23	21	38	33	54
Fum4	37	44	46	52	68	69
Ripalpha	37	35	55	44	52	62
RpL7	2209	2295	3438	3314	4111	4500
CG34159	58	67	101	105	115	157
Snx17	126	114	162	160	204	231
CG5731	15	29	24	29	37	41
CG5727	14	22	29	24	36	34
CG4901	46	50	66	71	81	69
Npc1a	270	250	416	394	450	562
Prosalpha6	218	206	386	349	403	524
CG4908	13	19	36	37	32	48
CG5708	38	51	70	69	87	99
ova	82	60	87	89	106	122
eEF1delta	408	408	656	566	715	795
mthl15	20	20	23	32	37	50
me31B	647	632	1030	973	1163	1308
chico	120	114	176	158	190	246
bsk	92	85	132	105	145	151
CG31717	64	54	92	79	88	114
Ror	2	2	3	5	7	2
CG5676	113	120	210	169	228	263
Pten	45	53	100	80	109	123
Rsf1	54	77	131	115	114	161
REPTOR-BP	45	58	85	66	85	109
Mob3	38	27	73	39	62	53
CG4953	35	38	60	50	58	69
CG4957	18	23	35	19	36	26
Mulk	54	50	84	63	103	114
trk	2	5	4	3	1	2
Utx	72	79	127	111	141	174
CG34043	64	65	113	97	120	145
Ufd4	788	676	1188	1112	1376	1543
Hand	6	14	20	23	23	22
CYLD	100	95	144	133	199	220
CG13138	1	4	8	10	8	14
nmd	148	138	250	223	305	308
CG5390	420	459	651	572	781	871
CG4968	106	93	159	143	182	202
Cdk5alpha	22	41	46	39	55	59
l(2)SH0834	31	43	72	55	75	86
Usp14	242	253	388	374	444	471
CG4972	160	175	256	225	264	306
CG5381	168	171	256	263	318	328
CG4995	59	45	81	95	120	143
RnrL	118	124	193	203	219	280
Schip1	13	12	24	25	38	37
CG5037	171	168	234	247	299	343
GATAd	105	64	101	93	150	164
SamDC	89	100	106	142	174	148
CG31715	63	50	87	101	117	124
Sps2	91	64	109	110	157	177
CG5022	4	11	17	15	16	16
CG34367	9	5	12	3	12	8
CG5367	4	3	9	5	6	3
ClpP	173	143	289	211	299	330
Cand1	164	148	244	244	296	326
pim	30	23	28	21	36	48
lft	35	33	65	65	70	73
CG5056	69	63	111	89	122	115
rho-5	21	18	32	34	40	45
CG33303	325	345	518	477	644	673
dpr19	16	13	21	11	19	29
gny	54	35	60	56	70	80
CG5096	223	217	363	295	391	427
Cdk1	35	34	51	48	76	73
mRpS7	99	117	149	162	172	213
da	172	181	285	262	280	364
Mdh1	1739	1793	2819	2670	3232	3574
Cnot4	274	331	453	427	554	651
LSm-4	52	55	82	90	92	96
CG17768	52	55	82	90	92	96
Ir31a	0	1	0	0	2	0
Ip259	340	373	541	465	690	732
RpS27A	1747	1721	2676	2433	2997	3362
CG5355	344	311	505	431	561	647
Klp31E	55	51	87	76	108	98
RfC3	19	18	30	17	40	45
pie	10	17	18	22	27	39
Wdfy2	203	193	337	325	412	421
SmB	65	84	119	95	142	155
KdelR	254	224	332	326	401	472
CG5188	15	23	25	34	39	46
Bug22	73	63	105	94	97	117
TfIIB	81	76	113	104	117	160
TBC1D16	22	34	47	53	53	67
holn1	25	29	44	35	46	48
STUB1	86	68	110	102	127	153
Nse4	10	7	14	17	17	28
loh	20	15	20	20	27	19
ppk10	1	0	2	3	2	5
LManI	80	57	126	99	139	152
LManII	860	778	1239	1156	1434	1540
RluA-1	72	58	86	93	115	127
RluA-2	15	16	25	21	30	36
Grip75	28	33	44	41	54	58
Cog4	89	84	134	110	135	156
CG6144	21	29	50	39	40	64
CG13144	13	13	25	14	30	24
Myo31DF	290	295	441	397	504	578
CG6094	30	28	44	45	56	59
CG7384	73	73	111	120	132	124
Fatp1	886	947	1408	1285	1660	1866
Lrr47	19	7	31	26	38	34
Lip4	103	94	140	131	192	188
CG18301	26	26	50	43	49	46
CG18302	47	47	71	68	92	93
Trim9	32	26	29	44	58	65
CG6138	29	18	40	40	39	56
w-cup	337	377	575	471	651	756
CG34160	31	34	51	30	66	60
CG34161	10	23	12	12	20	29
CG7329	16	17	21	28	33	37
CG31872	715	762	1166	1039	1312	1497
CG18284	742	725	1064	1035	1240	1419
CG17097	1483	1567	2400	2038	2699	3108
dbf	78	88	134	81	165	170
CG45690	0	0	0	0	0	0
CG31871	5	5	4	7	6	11
CG17104	25	26	49	29	52	48
CG17105	0	0	0	0	1	1
CG17107	9	14	21	19	25	24
CG7299	24	22	34	31	35	43
CG7296	35	31	46	50	54	59
CG7294	1	1	0	0	0	1
CG17108	3392	3425	5420	4445	5682	6032
CG7300	184	191	321	287	374	438
Lip1	2	1	3	2	1	2
Lip2	27	25	39	28	34	60
CG6415	231	227	379	294	418	468
CG6431	1	0	0	0	0	0
CG6443	37	21	63	62	81	79
CG17118	40	35	42	48	66	73
EMC3	108	96	168	159	193	210
Dpy-30L1	25	38	42	44	47	54
Nup107	124	117	161	140	190	233
Vha16-5	4	4	9	11	11	6
CG12299	34	35	55	41	60	67
CG6729	61	52	93	80	108	128
CG17124	232	206	405	341	411	454
CG6495	55	59	84	69	97	124
Ubc2	131	141	192	221	230	285
CG6724	38	40	53	56	78	91
CG17127	5	11	7	8	11	11
CG31869	52	81	100	78	113	118
CG31870	35	38	51	43	54	68
Nos	6	14	19	13	19	26
CG6508	3	1	5	4	2	5
CG17134	0	0	0	0	0	0
CG6700	199	211	299	269	349	411
CG17139	34	29	53	68	70	67
CG17140	34	29	53	68	70	67
Porin2	129	142	225	204	254	270
porin	1213	1235	1933	1746	2337	2518
SmydA-3	25	27	52	56	79	68
Dnz1	58	63	105	92	138	140
aurB	15	27	30	21	30	41
Stam	269	251	366	355	436	500
CG12517	1	2	5	2	9	5
CG14071	16	19	25	30	28	42
CG14070	9	5	9	10	10	16
CG7309	62	67	97	82	116	121
CG14069	0	0	1	0	3	4
dpr2	5	3	6	2	5	9
CG14072	15	25	23	31	38	47
CG33129	302	252	448	421	551	604
YL-1	38	42	50	39	58	65
CG16743	153	161	233	220	283	322
abo	31	33	64	48	54	63
ATPsynG	812	783	1277	1141	1413	1598
SCAR	163	168	246	220	274	344
piwi	62	74	104	68	115	103
CG12253	16	18	15	13	18	16
TTLL4A	166	199	265	259	336	386
aub	29	26	47	49	53	55
lectin-33A	8	10	20	13	16	17
RpL9	1605	1590	2540	2208	2786	3084
Nup154	112	96	179	146	186	209
Art8	13	17	30	25	22	36
dUTPase	48	53	81	96	97	111
Samuel	56	58	120	94	136	130
Acp32CD	386	425	672	609	788	872
CG14913	2	2	3	4	5	2
CG18666	2	0	8	4	6	13
CG14915	0	0	0	0	0	0
CG43725	0	0	0	0	0	0
AstC	34	41	62	43	36	74
AstCC	1	0	0	1	2	1
CG16854	15	18	26	27	26	28
Wdr59	70	56	100	99	127	146
Ge-1	142	125	188	178	238	273
Reps	110	98	147	136	162	208
l(2)gd1	84	92	117	93	156	171
CG6201	21	24	39	32	41	46
Gr32a	1	3	2	2	5	3
CG6230	303	311	455	432	513	639
CG14921	10	7	18	10	13	19
Csl4	12	14	18	26	39	29
Nup160	91	86	129	130	141	181
RfC38	38	42	45	57	68	86
CG4751	56	47	80	67	121	106
hgo	102	124	179	149	216	244
Gyc32E	1	1	3	1	1	3
CG31867	8	13	13	18	25	22
CG6287	1016	1007	1550	1467	1965	2059
Ca-beta	57	62	83	73	91	129
Vm32E	116	107	175	166	186	262
CG4788	15	16	27	24	35	39
ab	24	26	46	42	61	55
cmet	48	55	108	99	103	108
cana	188	151	258	209	321	332
CG33695	11	24	40	22	37	49
Ppt2	78	73	118	103	117	168
mre11	120	112	178	168	235	237
Osi21	0	0	0	0	0	0
CG14926	123	115	197	173	217	265
salr	36	22	69	48	62	69
salm	26	23	37	37	52	49
sala	1	1	2	4	2	5
CG43355	1	1	2	4	2	5
Cog8	42	38	56	47	60	84
spz4	0	1	2	0	0	3
Dlg5	184	153	233	224	281	278
CG4970	28	27	51	36	52	42
CG14929	6	6	21	22	24	22
CG14930	5	6	12	9	11	16
CG43153	0	0	0	0	0	0
CG31705	1530	1581	2398	2119	2857	3142
CG31706	45	35	71	84	120	117
CG34162	0	0	1	2	2	4
CG43438	0	0	1	0	1	1
kek2	18	13	24	28	28	25
Mst33A	71	77	124	89	112	141
Acp33A	197	168	302	226	305	347
spag4	0	2	2	2	1	4
CG6614	14	11	28	19	27	32
CG12307	37	44	72	46	74	86
CG4983	68	74	115	123	123	172
CG43167	7	2	5	3	3	7
CG44477	5	4	7	9	8	8
CG4988	44	56	56	70	93	82
Vha100-5	179	168	269	268	310	364
CG42470	4	7	3	5	10	13
CG42471	14	14	27	17	17	27
Sfp33A1	13	14	14	24	19	43
CG14931	12	14	23	19	21	18
CG14932	12	7	17	13	19	20
Tsp33B	7	11	13	20	19	28
CG14937	4	2	9	3	1	7
crol	275	264	427	411	505	559
CycY	136	108	205	162	199	218
Pde1c	72	94	146	106	163	173
esc	18	14	40	30	30	39
CG45011	16	20	22	29	39	42
CG45012	0	4	4	4	5	6
Sfp33A4	0	1	4	2	1	5
Sfp33A2	6	10	7	8	6	8
Sfp33A3	45	44	91	48	76	92
CG31704	53	45	69	69	83	96
CG44008	311	354	490	484	594	677
CG46426	334	378	562	517	670	785
CG42486	357	401	605	546	704	825
CG14933	357	401	605	546	704	825
Mal-B1	174	179	262	234	336	342
Mal-B2	1455	1443	2248	2080	2650	2885
CG42751	2	3	2	2	3	4
Or33a	0	0	0	0	0	0
Or33b	0	0	0	0	0	0
Or33c	0	0	0	0	0	0
Crys	108	102	171	155	211	235
CG16964	12	16	34	16	23	27
CG16965	90	72	123	108	146	164
CG6686	129	160	237	188	269	299
CG34163	18	8	24	16	20	19
zuc	4	2	1	4	6	4
dgt2	21	20	39	29	43	45
escl	9	17	14	16	23	20
Ada1-2	3	13	6	5	10	4
CG18789	6	7	14	5	4	20
Qtzl	6	9	11	9	10	16
Ada1-1	6	1	3	3	9	11
CG18787	16	19	28	17	14	20
Nfs1	207	179	297	253	348	396
Hacd1	261	256	396	411	536	547
Rh5	117	117	196	159	228	268
Wdr81	42	45	67	73	80	114
dmGlut	175	129	223	201	297	354
CG18788	3	8	6	12	5	7
Tom70	120	123	195	170	231	275
CG6766	231	235	339	290	396	456
CG6785	9	10	17	15	11	14
CG6770	2190	2273	3318	2930	3817	4178
Plzf	15	14	17	25	26	33
PLCXD	207	216	313	273	343	399
JhI-21	65	78	127	98	146	147
RpL7-like	106	116	168	135	186	212
CG34164	106	116	168	135	186	212
Rab3-GAP	143	133	238	211	266	286
firl	59	59	100	84	98	115
CG14947	0	0	0	0	2	0
prd	44	42	60	57	73	71
Pex19	152	157	245	242	288	322
CG6712	43	44	70	46	93	84
Mt2	3	3	10	4	8	5
Ced-12	51	44	80	52	97	106
Patsas	9	6	14	13	16	14
ThrRS	234	254	358	335	408	462
Rab6	189	143	272	256	291	355
Phae1	59	67	75	85	107	128
Phae2	74	91	143	130	163	192
CG17211	6	7	12	17	17	24
rho-6	0	2	3	2	5	4
Gr33a	0	0	1	0	0	0
CG31760	30	28	44	43	62	56
CG31861	12	13	31	24	34	29
ZnT33D	12	16	26	20	26	36
CG17217	12	9	18	19	16	27
CG6583	45	34	70	60	64	75
crok	33	39	46	59	62	81
atilla	263	294	368	406	459	531
CG31759	17	18	21	26	30	38
bru1	390	395	621	547	709	800
CG31862	7	12	17	15	11	22
CG43813	1	0	0	0	0	2
bru2	116	141	192	204	218	273
CG17010	59	51	85	91	99	109
